plate_id,sample_id,replicate,quant_row,quant_column,sample_volume
Tepolt-ddRAD-LibraryPlate2,A12,1,O,1,1
Tepolt-ddRAD-LibraryPlate2,B12,1,O,3,1
Tepolt-ddRAD-LibraryPlate2,C12,1,O,5,1
Tepolt-ddRAD-LibraryPlate2,D12,1,O,7,1
Tepolt-ddRAD-LibraryPlate2,E12,1,O,9,1
Tepolt-ddRAD-LibraryPlate2,F12,1,O,11,1
Tepolt-ddRAD-LibraryPlate2,G12,1,O,13,1
Tepolt-ddRAD-LibraryPlate2,H12,1,O,15,1
Tepolt-ddRAD-LibraryPlate2,A12,2,O,2,1
Tepolt-ddRAD-LibraryPlate2,B12,2,O,4,1
Tepolt-ddRAD-LibraryPlate2,C12,2,O,6,1
Tepolt-ddRAD-LibraryPlate2,D12,2,O,8,1
Tepolt-ddRAD-LibraryPlate2,E12,2,O,10,1
Tepolt-ddRAD-LibraryPlate2,F12,2,O,12,1
Tepolt-ddRAD-LibraryPlate2,G12,2,O,14,1
Tepolt-ddRAD-LibraryPlate2,H12,2,O,16,1
standard,0,1,P,1,5
standard,0.5,1,P,2,5
standard,1,1,P,3,5
standard,2,1,P,4,5
standard,4,1,P,5,5
standard,6,1,P,6,5
standard,8,1,P,7,5
standard,10,1,P,8,5
