Sample,Wells,Value,R
1,O1,53.678,R
,O2,55.734,R
,O3,102.849,R
,O4,106.916,R
,O5,44.554,R
,O6,48.01,R
,O7,48.778,R
,O8,52.562,R
,O9,94.981,R
,O10,103.989,R
,O11,65.727,R
,O12,59.601,R
,O13,84.385,R
,O14,70.389,R
,O15,45.725,R
,O16,40.956,R
,O17,5.134,R
,O18,5,R
,O19,4.885,R
,O20,5.272,R
,O21,5.121,R
,O22,5.021,R
,O23,5.156,R
,O24,5.325,R
,P1,4.814,R
,P2,48.95,R
,P3,93.887,R
,P4,180.096,R
,P5,336.554,R
,P6,441.693,R
,P7,507.526,R
,P8,759.432,R
,P9,8.255,R
,P10,1.023,R
,P11,1.263,R
,P12,1.005,R
,P13,1.007,R
,P14,1.27,R
,P15,1.08,R
,P16,1.178,R
,P17,1.009,R
,P18,1.045,R
,P19,1.101,R
,P20,1.081,R
,P21,1.093,R
,P22,1.213,R
,P23,1.013,R
,P24,1.055,R
,,,
